[1634842800] LOG ROTATION: DAILY
[1634842800] CURRENT SERVICE STATE: API-GW Server PROD 172.25.20.35;HD Data Partition;OK;HARD;1;OK: /mnt: total 29.3GB, used 8.1GB (27.5%), free 19.7GB (67.4%)
[1634842800] CURRENT SERVICE STATE: API-GW Server PROD 172.25.20.35;HD Home Partition;OK;HARD;1;OK: /home: total 7.2GB, used 34.4MB (0.5%), free 6.8GB (94.1%)
[1634842800] CURRENT SERVICE STATE: API-GW Server PROD 172.25.20.35;HD Root Partition;OK;HARD;1;OK: /: total 7.2GB, used 2.1GB (28.8%), free 4.7GB (65.8%)
[1634842800] CURRENT SERVICE STATE: API-GW Server PROD 172.25.20.35;HD TMP Partition;OK;HARD;1;OK: /tmp: total 3.6GB, used 21.0MB (0.6%), free 3.4GB (93.8%)
[1634842800] CURRENT SERVICE STATE: API-GW Server PROD 172.25.20.35;HD VAR Partition;OK;HARD;1;OK: /var: total 7.2GB, used 308.8MB (4.2%), free 6.5GB (90.4%)
[1634842800] CURRENT SERVICE STATE: API-GW Server PROD 172.25.20.35;HD VAR/LOG Partition;OK;HARD;1;OK: /var/log: total 10.7GB, used 150.5MB (1.4%), free 10.0GB (93.3%)
[1634842800] CURRENT SERVICE STATE: API-GW Server PROD 172.25.20.35;HD VAR/LOG/AUDIT Partition;OK;HARD;1;OK: /var/log/audit: total 3.6GB, used 52.8MB (1.4%), free 3.4GB (93.0%)
[1634842800] CURRENT SERVICE STATE: API-GW Server PROD 172.25.20.35;Important TCP Services Status;OK;HARD;1;OK - All Services are running! sshd docker crond nrpe
[1634842800] CURRENT SERVICE STATE: API-GW Server PROD 172.25.20.35;PING;OK;HARD;1;PING OK - Packet loss = 0%, RTA = 18.88 ms
[1634842800] CURRENT SERVICE STATE: API-GW Server PROD 172.25.20.35;Swap plus RAM;OK;HARD;1;OK MEMORY:::: Total: 7820 MB - Used: 537 MB - 6.87% used --- SWAP:::: Used: 0 MB - 0.00% used  :
[1634842800] CURRENT SERVICE STATE: API-GW Server PROD 172.25.20.35;TCP and UDP Connections;OK;HARD;1;SOCKET USAGE  OK : used 379
[1634842800] CURRENT SERVICE STATE: API-GW Server PROD 172.25.20.35;Total Processes;OK;HARD;1;PROCS OK: 89 processes with STATE = RSZDT
[1634842800] CURRENT SERVICE STATE: API-GW-MYSQL DR 172.23.20.65;Apache CPU n MEM load;OK;HARD;1;OK  CPU: 0.0% MEM: 0.0% over 0 processes
[1634842800] CURRENT SERVICE STATE: API-GW-MYSQL DR 172.23.20.65;CPU Stats;OK;HARD;1;CPU STATISTICS OK : user=1.25% system=1.75%, iowait=0.00%, idle=96.99%, nice=0.00%, steal=0.00%
[1634842800] CURRENT SERVICE STATE: API-GW-MYSQL DR 172.23.20.65;Check Traffic;OK;HARD;1;RX Bytes: 21GB, TX Bytes:  5GB: RX Speed:  8Kbps, TX Speed:  5Kbps: OK bandwidth utilization
[1634842800] CURRENT SERVICE STATE: API-GW-MYSQL DR 172.23.20.65;Current Users;OK;HARD;1;USERS OK - 1 users currently logged in
[1634842800] CURRENT SERVICE STATE: API-GW-MYSQL DR 172.23.20.65;Disk I/O;OK;HARD;1;DISK IO OK
[1634842800] CURRENT SERVICE STATE: API-GW-MYSQL DR 172.23.20.65;HD Data Partition;OK;HARD;1;OK: /mnt/api-gw-logs-prod-data: total 98.3GB, used 32.7GB (33.3%), free 60.5GB (61.6%)
[1634842800] CURRENT SERVICE STATE: API-GW-MYSQL DR 172.23.20.65;HD Home Partition;OK;HARD;1;OK: /home: total 7.2GB, used 33.7MB (0.5%), free 6.8GB (94.2%)
[1634842800] CURRENT SERVICE STATE: API-GW-MYSQL DR 172.23.20.65;HD Root Partition;OK;HARD;1;OK: /: total 7.2GB, used 4.3GB (59.8%), free 2.5GB (34.8%)
[1634842800] CURRENT SERVICE STATE: API-GW-MYSQL DR 172.23.20.65;HD TMP Partition;OK;HARD;1;OK: /tmp: total 3.6GB, used 21.0MB (0.6%), free 3.4GB (93.8%)
[1634842800] CURRENT SERVICE STATE: API-GW-MYSQL DR 172.23.20.65;HD VAR Partition;OK;HARD;1;OK: /var: total 7.2GB, used 691.7MB (9.4%), free 6.1GB (85.2%)
[1634842800] CURRENT SERVICE STATE: API-GW-MYSQL DR 172.23.20.65;HD VAR/LOG Partition;OK;HARD;1;OK: /var/log: total 10.7GB, used 90.2MB (0.8%), free 10.0GB (93.9%)
[1634842800] CURRENT SERVICE STATE: API-GW-MYSQL DR 172.23.20.65;HD VAR/LOG/AUDIT Partition;OK;HARD;1;OK: /var/log/audit: total 3.6GB, used 48.4MB (1.3%), free 3.4GB (93.1%)
[1634842800] CURRENT SERVICE STATE: API-GW-MYSQL DR 172.23.20.65;Important TCP Services Status;OK;HARD;1;OK - All Services are running! sshd crond nrpe
[1634842800] CURRENT SERVICE STATE: API-GW-MYSQL DR 172.23.20.65;MYSQL CPU and MEM Load;OK;HARD;1;OK /usr/sbin/mysqld CPU: .7% MEM: 80.2% over 1 processes
[1634842800] CURRENT SERVICE STATE: API-GW-MYSQL DR 172.23.20.65;MYSQLD Performance;OK;HARD;1;MYSQL 8.0.23 OK
[1634842800] CURRENT SERVICE STATE: API-GW-MYSQL DR 172.23.20.65;MySql - Slave IO Running;OK;HARD;1;OK - 172.23.20.65 - Slave_IO_Running Yes
[1634842800] CURRENT SERVICE STATE: API-GW-MYSQL DR 172.23.20.65;MySql - Slave SQL Running;OK;HARD;1;OK - 172.23.20.65 - Slave_SQL_Running Yes
[1634842800] CURRENT SERVICE STATE: API-GW-MYSQL DR 172.23.20.65;MySql - Total Records Status;OK;HARD;1;Master: 954664564 Slave: 954664564
[1634842800] CURRENT SERVICE STATE: API-GW-MYSQL DR 172.23.20.65;MySql -Service Running;OK;HARD;1;Uptime: 14814721  Threads: 4  Questions: 15998742  Slow queries: 0  Opens: 552  Flush tables: 3  Open tables: 387  Queries per second avg: 1.079
[1634842800] CURRENT SERVICE STATE: API-GW-MYSQL DR 172.23.20.65;PING;OK;HARD;1;PING OK - Packet loss = 0%, RTA = 0.89 ms
[1634842800] CURRENT SERVICE STATE: API-GW-MYSQL DR 172.23.20.65;Swap plus RAM;OK;HARD;1;OK MEMORY:::: Total: 5805 MB - Used: 5176 MB - 89.16% used --- SWAP:::: Used: 560 MB - 7.34% used  :
[1634842800] CURRENT SERVICE STATE: API-GW-MYSQL DR 172.23.20.65;TCP and UDP Connections;OK;HARD;1;SOCKET USAGE  OK : used 159
[1634842800] CURRENT SERVICE STATE: API-GW-MYSQL DR 172.23.20.65;Total Processes;OK;HARD;1;PROCS OK: 54 processes with STATE = RSZDT
[1634842800] CURRENT SERVICE STATE: API-GW-MYSQL PROD 172.25.20.65;Apache CPU n MEM load;OK;HARD;1;OK  CPU: 0.0% MEM: 0.0% over 0 processes
[1634842800] CURRENT SERVICE STATE: API-GW-MYSQL PROD 172.25.20.65;CPU Stats;OK;HARD;1;CPU STATISTICS OK : user=0.25% system=0.00%, iowait=0.00%, idle=99.75%, nice=0.00%, steal=0.00%
[1634842800] CURRENT SERVICE STATE: API-GW-MYSQL PROD 172.25.20.65;Check Traffic;OK;HARD;1;RX Bytes: 25GB, TX Bytes: 32GB: RX Speed:  4Kbps, TX Speed:  4Kbps: OK bandwidth utilization
[1634842800] CURRENT SERVICE STATE: API-GW-MYSQL PROD 172.25.20.65;Current Users;OK;HARD;1;USERS OK - 1 users currently logged in
[1634842800] CURRENT SERVICE STATE: API-GW-MYSQL PROD 172.25.20.65;Disk I/O;OK;HARD;1;DISK IO OK
[1634842800] CURRENT SERVICE STATE: API-GW-MYSQL PROD 172.25.20.65;HD Data Partition;OK;HARD;1;OK: /mnt/api-gw-logs-prod-data: total 98.3GB, used 56.9GB (57.9%), free 36.4GB (37.0%)
[1634842800] CURRENT SERVICE STATE: API-GW-MYSQL PROD 172.25.20.65;HD Home Partition;OK;HARD;1;OK: /home: total 7.2GB, used 949.5MB (12.9%), free 5.9GB (81.8%)
[1634842800] CURRENT SERVICE STATE: API-GW-MYSQL PROD 172.25.20.65;HD Root Partition;OK;HARD;1;OK: /: total 7.2GB, used 4.2GB (58.7%), free 2.6GB (36.0%)
[1634842800] CURRENT SERVICE STATE: API-GW-MYSQL PROD 172.25.20.65;HD TMP Partition;OK;HARD;1;OK: /tmp: total 3.6GB, used 21.0MB (0.6%), free 3.4GB (93.8%)
[1634842800] CURRENT SERVICE STATE: API-GW-MYSQL PROD 172.25.20.65;HD VAR Partition;OK;HARD;1;OK: /var: total 7.2GB, used 626.2MB (8.5%), free 6.2GB (86.1%)
[1634842800] CURRENT SERVICE STATE: API-GW-MYSQL PROD 172.25.20.65;HD VAR/LOG Partition;OK;HARD;1;OK: /var/log: total 10.7GB, used 73.9MB (0.7%), free 10.1GB (94.0%)
[1634842800] CURRENT SERVICE STATE: API-GW-MYSQL PROD 172.25.20.65;HD VAR/LOG/AUDIT Partition;OK;HARD;1;OK: /var/log/audit: total 3.6GB, used 48.7MB (1.3%), free 3.4GB (93.1%)
[1634842800] CURRENT SERVICE STATE: API-GW-MYSQL PROD 172.25.20.65;Important TCP Services Status;OK;HARD;1;OK - All Services are running! sshd crond nrpe
[1634842800] CURRENT SERVICE STATE: API-GW-MYSQL PROD 172.25.20.65;PING;OK;HARD;1;PING OK - Packet loss = 0%, RTA = 18.75 ms
[1634842800] CURRENT SERVICE STATE: API-GW-MYSQL PROD 172.25.20.65;Swap plus RAM;OK;HARD;1;OK MEMORY:::: Total: 7821 MB - Used: 5566 MB - 71.17% used --- SWAP:::: Used: 0 MB - 0.00% used  :
[1634842800] CURRENT SERVICE STATE: API-GW-MYSQL PROD 172.25.20.65;TCP and UDP Connections;OK;HARD;1;SOCKET USAGE  OK : used 157
[1634842800] CURRENT SERVICE STATE: API-GW-MYSQL PROD 172.25.20.65;Total Processes;OK;HARD;1;PROCS OK: 53 processes with STATE = RSZDT
[1634842800] CURRENT SERVICE STATE: API-GW-MYSQL UAT 172.21.20.65;Apache CPU n MEM load;OK;HARD;1;OK  CPU: 0.0% MEM: 0.0% over 0 processes
[1634842800] CURRENT SERVICE STATE: API-GW-MYSQL UAT 172.21.20.65;CPU Stats;OK;HARD;1;CPU STATISTICS OK : user=0.50% system=1.01%, iowait=0.00%, idle=98.49%, nice=0.00%, steal=0.00%
[1634842800] CURRENT SERVICE STATE: API-GW-MYSQL UAT 172.21.20.65;Check Traffic;OK;HARD;1;RX Bytes:  4GB, TX Bytes:  4GB: RX Speed:  5Kbps, TX Speed:  5Kbps: OK bandwidth utilization
[1634842800] CURRENT SERVICE STATE: API-GW-MYSQL UAT 172.21.20.65;Current Users;OK;HARD;1;USERS OK - 0 users currently logged in
[1634842800] CURRENT SERVICE STATE: API-GW-MYSQL UAT 172.21.20.65;Disk I/O;OK;HARD;1;DISK IO OK
[1634842800] CURRENT SERVICE STATE: API-GW-MYSQL UAT 172.21.20.65;HD Data Partition;OK;HARD;1;OK: /mnt/api-gw-mysql-data: total 29.4GB, used 958.2MB (3.2%), free 26.9GB (91.7%)
[1634842800] CURRENT SERVICE STATE: API-GW-MYSQL UAT 172.21.20.65;HD Root Partition;OK;HARD;1;OK: /: total 40.1GB, used 4.3GB (10.7%), free 35.8GB (89.3%)
[1634842800] CURRENT SERVICE STATE: API-GW-MYSQL UAT 172.21.20.65;Important TCP Services Status;OK;HARD;1;OK - All Services are running! sshd crond nrpe
[1634842800] CURRENT SERVICE STATE: API-GW-MYSQL UAT 172.21.20.65;PING;OK;HARD;1;PING OK - Packet loss = 0%, RTA = 18.78 ms
[1634842800] CURRENT SERVICE STATE: API-GW-MYSQL UAT 172.21.20.65;Swap plus RAM;OK;HARD;1;OK MEMORY:::: Total: 3791 MB - Used: 2810 MB - 74.12% used --- SWAP:::: Used: 257 MB - 3.14% used  :
