[1634929200] LOG ROTATION: DAILY
[1634929200] LOG VERSION: 2.0
[1634929200] CURRENT HOST STATE: API-GW Server DR 172.23.20.35;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 0.73 ms
[1634929200] CURRENT HOST STATE: API-GW Server PROD 172.25.20.35;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 19.47 ms
[1634929200] CURRENT HOST STATE: API-GW-MYSQL DR 172.23.20.65;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 0.81 ms
[1634929200] CURRENT HOST STATE: API-GW-MYSQL PROD 172.25.20.65;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 20.03 ms
[1634929200] CURRENT HOST STATE: API-GW-MYSQL UAT 172.21.20.65;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 19.62 ms
[1634929200] CURRENT HOST STATE: API-Server DR 172.23.20.82;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 0.67 ms
[1634929200] CURRENT HOST STATE: API-Server PROD 172.25.20.82;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 19.36 ms
[1634929200] CURRENT HOST STATE: BOP Server DR 172.23.20.62;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 0.66 ms
[1634929200] CURRENT HOST STATE: BOP Server PROD 172.25.20.62;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 19.35 ms
[1634929200] CURRENT HOST STATE: CDN-Server DR 172.23.20.77;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 0.98 ms
[1634929200] CURRENT HOST STATE: CDN-Server PROD 172.25.20.77;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 19.50 ms
[1634929200] CURRENT HOST STATE: CDN-Server UAT Server 172.21.20.52;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 19.34 ms
[1634929200] CURRENT HOST STATE: DB Server UAT 172.21.20.60;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 19.78 ms
[1634929200] CURRENT HOST STATE: DNS-Mail Server Prod 172.25.20.55;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 19.79 ms
[1634929200] CURRENT HOST STATE: ELK Server UAT 172.21.20.80;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 19.50 ms
[1634929200] CURRENT HOST STATE: EMI-Widget-Server-Prod 172.25.20.71;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 19.53 ms
[1634929200] CURRENT HOST STATE: Fortinet Firewall-PROD 172.25.20.90;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 0.11 ms
[1634929200] CURRENT HOST STATE: GIT Server DR 172.23.20.22;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 0.79 ms
[1634929200] CURRENT HOST STATE: IVR-Server-prod 172.25.20.44;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 19.35 ms
[1634929200] CURRENT HOST STATE: Jenkins Server DR 172.23.20.21;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 1.93 ms
[1634929200] CURRENT HOST STATE: MYSQL-DB Server DR 172.23.20.83;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 0.99 ms
[1634929200] CURRENT HOST STATE: MYSQL-DB Server PROD 172.25.20.83;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 19.64 ms
[1634929200] CURRENT HOST STATE: Middleware Server UAT 172.21.20.70;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 19.83 ms
[1634929200] CURRENT HOST STATE: Mongo-DB Server DR 172.23.20.42;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 0.62 ms
[1634929200] CURRENT HOST STATE: Mongo-DB Server PROD 172.25.20.42;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 19.51 ms
[1634929200] CURRENT HOST STATE: Nagios Server DR 172.23.20.50;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 0.10 ms
[1634929200] CURRENT HOST STATE: PBX-Server-Prod 172.25.20.74;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 19.18 ms
[1634929200] CURRENT HOST STATE: Payment Switch Server- UAT 172.21.20.85;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 19.37 ms
[1634929200] CURRENT HOST STATE: Payment-Switch-Srv-DR 172.23.20.85;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 0.75 ms
[1634929200] CURRENT HOST STATE: Payment-Switch-Srv-PROD 172.25.20.85;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 19.41 ms
[1634929200] CURRENT HOST STATE: TMS System 172.25.20.25;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 19.47 ms
[1634929200] CURRENT HOST STATE: Web Server UAT 172.21.20.40;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 19.84 ms
[1634929200] CURRENT HOST STATE: Windows DR 172.23.20.100;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 0.79 ms
[1634929200] CURRENT HOST STATE: Windows Dev VM UAT 172.21.20.100;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 19.65 ms
[1634929200] CURRENT SERVICE STATE: API-GW Server DR 172.23.20.35;Apache CPU n MEM load;OK;HARD;1;OK  CPU: 0.0% MEM: 0.0% over 0 processes
[1634929200] CURRENT SERVICE STATE: API-GW Server DR 172.23.20.35;CPU Stats;OK;HARD;1;CPU STATISTICS OK : user=0.88% system=2.25%, iowait=0.00%, idle=96.87%, nice=0.00%, steal=0.00%
[1634929200] CURRENT SERVICE STATE: API-GW Server DR 172.23.20.35;Check Traffic;OK;HARD;1;RX Bytes:  3GB, TX Bytes:  3GB: RX Speed:  2Kbps, TX Speed:  2Kbps: OK bandwidth utilization
[1634929200] CURRENT SERVICE STATE: API-GW Server DR 172.23.20.35;Current Users;OK;HARD;1;USERS OK - 1 users currently logged in
[1634929200] CURRENT SERVICE STATE: API-GW Server DR 172.23.20.35;DOCKER CPU and MEM Load;OK;HARD;1;OK  CPU: 0.0% MEM: 0.0% over 0 processes
[1634929200] CURRENT SERVICE STATE: API-GW Server DR 172.23.20.35;DOCKER Status;UNKNOWN;HARD;3;UNKNOWN: Cannot access docker socket file. User ID=0, socket file=/var/run/docker.sock
[1634929200] CURRENT SERVICE STATE: API-GW Server DR 172.23.20.35;Disk I/O;OK;HARD;1;DISK IO OK
[1634929200] CURRENT SERVICE STATE: API-GW Server DR 172.23.20.35;HD Data Partition;OK;HARD;1;OK: /mnt: total 29.3GB, used 5.0GB (17.1%), free 22.8GB (77.7%)
[1634929200] CURRENT SERVICE STATE: API-GW Server DR 172.23.20.35;HD Home Partition;OK;HARD;1;OK: /home: total 7.2GB, used 34.3MB (0.5%), free 6.8GB (94.2%)
[1634929200] CURRENT SERVICE STATE: API-GW Server DR 172.23.20.35;HD Root Partition;OK;HARD;1;OK: /: total 7.2GB, used 2.1GB (28.6%), free 4.8GB (66.0%)
[1634929200] CURRENT SERVICE STATE: API-GW Server DR 172.23.20.35;HD TMP Partition;OK;HARD;1;OK: /tmp: total 3.6GB, used 21.0MB (0.6%), free 3.4GB (93.8%)
[1634929200] CURRENT SERVICE STATE: API-GW Server DR 172.23.20.35;HD VAR Partition;OK;HARD;1;OK: /var: total 7.2GB, used 304.4MB (4.1%), free 6.5GB (90.5%)
[1634929200] CURRENT SERVICE STATE: API-GW Server DR 172.23.20.35;HD VAR/LOG Partition;OK;HARD;1;OK: /var/log: total 10.7GB, used 161.1MB (1.5%), free 10.0GB (93.2%)
[1634929200] CURRENT SERVICE STATE: API-GW Server DR 172.23.20.35;HD VAR/LOG/AUDIT Partition;OK;HARD;1;OK: /var/log/audit: total 3.6GB, used 51.4MB (1.4%), free 3.4GB (93.0%)
[1634929200] CURRENT SERVICE STATE: API-GW Server DR 172.23.20.35;Important TCP Services Status;CRITICAL;HARD;3;CRITICAL - 1 processes not running:  docker
[1634929200] CURRENT SERVICE STATE: API-GW Server DR 172.23.20.35;PING;OK;HARD;1;PING OK - Packet loss = 0%, RTA = 1.02 ms
[1634929200] CURRENT SERVICE STATE: API-GW Server DR 172.23.20.35;Swap plus RAM;OK;HARD;1;OK MEMORY:::: Total: 3788 MB - Used: 157 MB - 4.15% used --- SWAP:::: Used: 0 MB - 0.00% used  :
[1634929200] CURRENT SERVICE STATE: API-GW Server DR 172.23.20.35;TCP and UDP Connections;OK;HARD;1;SOCKET USAGE  OK : used 126
[1634929200] CURRENT SERVICE STATE: API-GW Server DR 172.23.20.35;Total Processes;OK;HARD;1;PROCS OK: 67 processes with STATE = RSZDT
[1634929200] CURRENT SERVICE STATE: API-GW Server PROD 172.25.20.35;Apache CPU n MEM load;OK;HARD;1;OK  CPU: 0.0% MEM: 0.0% over 0 processes
[1634929200] CURRENT SERVICE STATE: API-GW Server PROD 172.25.20.35;CPU Stats;OK;HARD;1;CPU STATISTICS OK : user=2.25% system=0.38%, iowait=0.00%, idle=97.38%, nice=0.00%, steal=0.00%
[1634929200] CURRENT SERVICE STATE: API-GW Server PROD 172.25.20.35;Check Traffic;OK;HARD;1;RX Bytes: 71GB, TX Bytes: 59GB: RX Speed: 13Kbps, TX Speed: 13Kbps: OK bandwidth utilization
[1634929200] CURRENT SERVICE STATE: API-GW Server PROD 172.25.20.35;Current Users;OK;HARD;1;USERS OK - 1 users currently logged in
[1634929200] CURRENT SERVICE STATE: API-GW Server PROD 172.25.20.35;DOCKER CPU and MEM Load;OK;HARD;1;OK /usr/bin/docker-proxy CPU: .1% MEM: 1.4% over 3 processes
[1634929200] CURRENT SERVICE STATE: API-GW Server PROD 172.25.20.35;DOCKER Status;OK;HARD;1;OK: haproxy status is running: OK: apigw_app2 status is running: OK: apigw_app status is running: OK: apigw_app2 memory is 1%: OK: apigw_app2 cpu is 0%: OK: apigw_app cpu is 0%: OK: apigw_app memory is 1%: OK: haproxy cpu is 0%: OK: haproxy memory is 0%
[1634929200] CURRENT SERVICE STATE: API-GW Server PROD 172.25.20.35;Disk I/O;OK;HARD;1;DISK IO OK
[1634929200] CURRENT SERVICE STATE: API-GW Server PROD 172.25.20.35;HD Data Partition;OK;HARD;1;OK: /mnt: total 29.3GB, used 8.1GB (27.5%), free 19.7GB (67.3%)
[1634929200] CURRENT SERVICE STATE: API-GW Server PROD 172.25.20.35;HD Home Partition;OK;HARD;1;OK: /home: total 7.2GB, used 34.4MB (0.5%), free 6.8GB (94.1%)
[1634929200] CURRENT SERVICE STATE: API-GW Server PROD 172.25.20.35;HD Root Partition;OK;HARD;1;OK: /: total 7.2GB, used 2.1GB (28.8%), free 4.7GB (65.8%)
[1634929200] CURRENT SERVICE STATE: API-GW Server PROD 172.25.20.35;HD TMP Partition;OK;HARD;1;OK: /tmp: total 3.6GB, used 21.0MB (0.6%), free 3.4GB (93.8%)
[1634929200] CURRENT SERVICE STATE: API-GW Server PROD 172.25.20.35;HD VAR Partition;OK;HARD;1;OK: /var: total 7.2GB, used 308.8MB (4.2%), free 6.5GB (90.4%)
[1634929200] CURRENT SERVICE STATE: API-GW Server PROD 172.25.20.35;HD VAR/LOG Partition;OK;HARD;1;OK: /var/log: total 10.7GB, used 152.6MB (1.4%), free 10.0GB (93.3%)
[1634929200] CURRENT SERVICE STATE: API-GW Server PROD 172.25.20.35;HD VAR/LOG/AUDIT Partition;OK;HARD;1;OK: /var/log/audit: total 3.6GB, used 49.4MB (1.3%), free 3.4GB (93.1%)
[1634929200] CURRENT SERVICE STATE: API-GW Server PROD 172.25.20.35;Important TCP Services Status;OK;HARD;1;OK - All Services are running! sshd docker crond nrpe
[1634929200] CURRENT SERVICE STATE: API-GW Server PROD 172.25.20.35;PING;OK;HARD;1;PING OK - Packet loss = 0%, RTA = 19.69 ms
[1634929200] CURRENT SERVICE STATE: API-GW Server PROD 172.25.20.35;Swap plus RAM;OK;HARD;1;OK MEMORY:::: Total: 7820 MB - Used: 550 MB - 7.03% used --- SWAP:::: Used: 0 MB - 0.00% used  :
[1634929200] CURRENT SERVICE STATE: API-GW Server PROD 172.25.20.35;TCP and UDP Connections;OK;HARD;1;SOCKET USAGE  OK : used 381
[1634929200] CURRENT SERVICE STATE: API-GW Server PROD 172.25.20.35;Total Processes;OK;HARD;1;PROCS OK: 91 processes with STATE = RSZDT
[1634929200] CURRENT SERVICE STATE: API-GW-MYSQL DR 172.23.20.65;Apache CPU n MEM load;OK;HARD;1;OK  CPU: 0.0% MEM: 0.0% over 0 processes
[1634929200] CURRENT SERVICE STATE: API-GW-MYSQL DR 172.23.20.65;CPU Stats;OK;HARD;1;CPU STATISTICS OK : user=0.25% system=0.00%, iowait=0.00%, idle=99.75%, nice=0.00%, steal=0.00%
[1634929200] CURRENT SERVICE STATE: API-GW-MYSQL DR 172.23.20.65;Check Traffic;OK;HARD;1;RX Bytes: 21GB, TX Bytes:  5GB: RX Speed:  8Kbps, TX Speed:  5Kbps: OK bandwidth utilization
[1634929200] CURRENT SERVICE STATE: API-GW-MYSQL DR 172.23.20.65;Current Users;OK;HARD;1;USERS OK - 1 users currently logged in
[1634929200] CURRENT SERVICE STATE: API-GW-MYSQL DR 172.23.20.65;Disk I/O;OK;HARD;1;DISK IO OK
[1634929200] CURRENT SERVICE STATE: API-GW-MYSQL DR 172.23.20.65;HD Data Partition;OK;HARD;1;OK: /mnt/api-gw-logs-prod-data: total 98.3GB, used 31.2GB (31.8%), free 62.1GB (63.1%)
[1634929200] CURRENT SERVICE STATE: API-GW-MYSQL DR 172.23.20.65;HD Home Partition;OK;HARD;1;OK: /home: total 7.2GB, used 33.7MB (0.5%), free 6.8GB (94.2%)
[1634929200] CURRENT SERVICE STATE: API-GW-MYSQL DR 172.23.20.65;HD Root Partition;OK;HARD;1;OK: /: total 7.2GB, used 4.3GB (59.8%), free 2.5GB (34.8%)
[1634929200] CURRENT SERVICE STATE: API-GW-MYSQL DR 172.23.20.65;HD TMP Partition;OK;HARD;1;OK: /tmp: total 3.6GB, used 21.0MB (0.6%), free 3.4GB (93.8%)
[1634929200] CURRENT SERVICE STATE: API-GW-MYSQL DR 172.23.20.65;HD VAR Partition;OK;HARD;1;OK: /var: total 7.2GB, used 691.7MB (9.4%), free 6.1GB (85.2%)
[1634929200] CURRENT SERVICE STATE: API-GW-MYSQL DR 172.23.20.65;HD VAR/LOG Partition;OK;HARD;1;OK: /var/log: total 10.7GB, used 90.4MB (0.8%), free 10.0GB (93.9%)
[1634929200] CURRENT SERVICE STATE: API-GW-MYSQL DR 172.23.20.65;HD VAR/LOG/AUDIT Partition;OK;HARD;1;OK: /var/log/audit: total 3.6GB, used 48.8MB (1.3%), free 3.4GB (93.1%)
[1634929200] CURRENT SERVICE STATE: API-GW-MYSQL DR 172.23.20.65;Important TCP Services Status;OK;HARD;1;OK - All Services are running! sshd crond nrpe
[1634929200] CURRENT SERVICE STATE: API-GW-MYSQL DR 172.23.20.65;MYSQL CPU and MEM Load;OK;HARD;1;OK /usr/sbin/mysqld CPU: .7% MEM: 80.2% over 1 processes
[1634929200] CURRENT SERVICE STATE: API-GW-MYSQL DR 172.23.20.65;MYSQLD Performance;OK;HARD;1;MYSQL 8.0.23 OK
[1634929200] CURRENT SERVICE STATE: API-GW-MYSQL DR 172.23.20.65;MySql - Slave IO Running;OK;HARD;1;OK - 172.23.20.65 - Slave_IO_Running Yes
[1634929200] CURRENT SERVICE STATE: API-GW-MYSQL DR 172.23.20.65;MySql - Slave SQL Running;OK;HARD;1;OK - 172.23.20.65 - Slave_SQL_Running Yes
[1634929200] CURRENT SERVICE STATE: API-GW-MYSQL DR 172.23.20.65;MySql - Total Records Status;OK;HARD;1;Master: 61696432 Slave: 61696432
[1634929200] CURRENT SERVICE STATE: API-GW-MYSQL DR 172.23.20.65;MySql -Service Running;OK;HARD;1;Uptime: 14901122  Threads: 4  Questions: 16199582  Slow queries: 0  Opens: 552  Flush tables: 3  Open tables: 387  Queries per second avg: 1.087
[1634929200] CURRENT SERVICE STATE: API-GW-MYSQL DR 172.23.20.65;PING;OK;HARD;1;PING OK - Packet loss = 0%, RTA = 0.90 ms
[1634929200] CURRENT SERVICE STATE: API-GW-MYSQL DR 172.23.20.65;Swap plus RAM;OK;HARD;1;OK MEMORY:::: Total: 5805 MB - Used: 5176 MB - 89.16% used --- SWAP:::: Used: 560 MB - 7.34% used  :
[1634929200] CURRENT SERVICE STATE: API-GW-MYSQL DR 172.23.20.65;TCP and UDP Connections;OK;HARD;1;SOCKET USAGE  OK : used 159
[1634929200] CURRENT SERVICE STATE: API-GW-MYSQL DR 172.23.20.65;Total Processes;OK;HARD;1;PROCS OK: 54 processes with STATE = RSZDT
[1634929200] CURRENT SERVICE STATE: API-GW-MYSQL PROD 172.25.20.65;Apache CPU n MEM load;OK;HARD;1;OK  CPU: 0.0% MEM: 0.0% over 0 processes
[1634929200] CURRENT SERVICE STATE: API-GW-MYSQL PROD 172.25.20.65;CPU Stats;OK;HARD;1;CPU STATISTICS OK : user=0.00% system=0.00%, iowait=0.00%, idle=100.00%, nice=0.00%, steal=0.00%
[1634929200] CURRENT SERVICE STATE: API-GW-MYSQL PROD 172.25.20.65;Check Traffic;OK;HARD;1;RX Bytes: 25GB, TX Bytes: 32GB: RX Speed:  6Kbps, TX Speed:  6Kbps: OK bandwidth utilization
[1634929200] CURRENT SERVICE STATE: API-GW-MYSQL PROD 172.25.20.65;Current Users;OK;HARD;1;USERS OK - 1 users currently logged in
[1634929200] CURRENT SERVICE STATE: API-GW-MYSQL PROD 172.25.20.65;Disk I/O;OK;HARD;1;DISK IO OK
[1634929200] CURRENT SERVICE STATE: API-GW-MYSQL PROD 172.25.20.65;HD Data Partition;OK;HARD;1;OK: /mnt/api-gw-logs-prod-data: total 98.3GB, used 56.2GB (57.2%), free 37.0GB (37.7%)
[1634929200] CURRENT SERVICE STATE: API-GW-MYSQL PROD 172.25.20.65;HD Home Partition;OK;HARD;1;OK: /home: total 7.2GB, used 949.5MB (12.9%), free 5.9GB (81.8%)
[1634929200] CURRENT SERVICE STATE: API-GW-MYSQL PROD 172.25.20.65;HD Root Partition;OK;HARD;1;OK: /: total 7.2GB, used 4.2GB (58.7%), free 2.6GB (36.0%)
[1634929200] CURRENT SERVICE STATE: API-GW-MYSQL PROD 172.25.20.65;HD TMP Partition;OK;HARD;1;OK: /tmp: total 3.6GB, used 21.0MB (0.6%), free 3.4GB (93.8%)
[1634929200] CURRENT SERVICE STATE: API-GW-MYSQL PROD 172.25.20.65;HD VAR Partition;OK;HARD;1;OK: /var: total 7.2GB, used 626.2MB (8.5%), free 6.2GB (86.1%)
[1634929200] CURRENT SERVICE STATE: API-GW-MYSQL PROD 172.25.20.65;HD VAR/LOG Partition;OK;HARD;1;OK: /var/log: total 10.7GB, used 74.0MB (0.7%), free 10.1GB (94.0%)
